,gemnr,volgnr,gemnaam,provnr,bjaar,ejaar,adam_code,adam_naam,adam_begin,adam_eind,cbs66,cbs,nidi,wag_code,regio,egg,corop,euclidmidx,euclidmidy,opmerking,cbs66HED,gemnaam_unique,gemnaam_Genlias,adam_sd,adam_sm,adam_sy,adam_ed,adam_em,adam_ey,studsec_1909,train_1909,popul_1909,minecorop,protestant_dummy,Christelijk.Ge_1909,Doopsgezinden_1909,Evangelisch.Lu_1909,Hersteld.Evang,Kerkelijke.gez,NederlandsHer,Nederlands.Isr,Oud.Katholieke,Overige.kerkel,Remonstranten,RoomsKatholie,Waals.Hervormd,Portugees.Isra,Gereformeerde,Geen.kerkelijk,Prot_both,Prot_all,nons,sumrel,sumall,norel,hhi,comp,inchurch,pr1,pr2,pr3,pr4,pr5,pr6,pr7,pr8,pr9,pr10,pr11,pr12,pr13,pr14,pr15,hhi_2
1247,507,1,Biervliet,9,1812,1942,10257,Biervliet,oudsher,01.04.1970,652,652,9114,9093,Zeeuws-Vlaanderen,98,31,3464,37168, ,652,Biervliet,Biervliet,NA,NA,0,1,4,1970,0,0,2287,Zeeuwsch-Vlaanderen,yes,1,1,0,1,0,1342,0,0,1,0,929,0,0,12,0,1354,1357,0,2287,2287,0,0.509362341,0.490637659,1,0.000437254,0.000437254,0,0.000437254,0,0.586794928,0,0,0.000437254,0,0.406209007,0,0,0.005247049,0,0.509362
1248,512,1,Breskens,9,1812,1942,10233,Breskens,oudsher,01.04.1970,655,655,9084,9079,Zeeuws-Vlaanderen,98,31,2576,38026, ,655,Breskens,Breskens,NA,NA,0,1,4,1970,0,0,2198,Zeeuwsch-Vlaanderen,yes,21,8,13,0,0,1787,0,1,129,1,108,0,0,25,105,1812,1855,105,2093,2198,4.777070064,0.735730025,0.264269975,0.952229299,0.010033445,0.003822265,0.00621118,0,0,0.853798376,0,0.000477783,0.061634018,0.000477783,0.051600573,0,0,0.011944577,0.050167224,0.73573
1249,516,1,Cadzand,9,1812,1942,11002,Cadzand,oudsher,01.04.1970,658,658,9085,9081,Zeeuws-Vlaanderen,98,31,1715,37673, ,658,Cadzand,Cadzand,NA,NA,0,1,4,1970,0,0,1079,Zeeuwsch-Vlaanderen,yes,9,0,3,1,0,990,0,0,56,0,17,0,0,2,1,992,1005,1,1078,1079,0.092678406,0.846427625,0.153572375,0.999073216,0.008348794,0,0.002782931,0.000927644,0,0.918367347,0,0,0.051948052,0,0.015769944,0,0,0.001855288,0.000927644,0.846428
1250,517,1,Clinge,9,1812,1942,10965,Clinge,oudsher,01.04.1970,659,659,9057,9104,Zeeuws-Vlaanderen,100,31,6818,36995, ,659,Clinge,Clinge,NA,NA,0,1,4,1970,0,0,3685,Zeeuwsch-Vlaanderen,yes,1,1,0,0,0,17,0,0,0,0,3666,0,0,0,0,17,19,0,3685,3685,0,0.989735939,0.010264061,1,0.00027137,0.00027137,0,0,0,0.004613297,0,0,0,0,0.994843962,0,0,0,0,0.989736
1251,523,1,Eede (ZL),9,1812,1941,11128,Eede,oudsher,01.04.1941,1052,NA,9002,9087,Zeeuws-Vlaanderen,98,NA,2095,36472, ,1052,Eede (ZL),Eede (ZL),NA,NA,0,1,4,1941,0,0,1052,Zeeuwsch-Vlaanderen,yes,2,2,0,0,0,10,0,0,0,0,1038,0,0,0,0,10,14,0,1052,1052,0,0.97365872,0.02634128,1,0.001901141,0.001901141,0,0,0,0.009505703,0,0,0,0,0.986692015,0,0,0,0,0.973659
1252,529,1,Graauw en Langendam,9,1812,1942,10312,Graauw en Langendam,oudsher,01.04.1970,665,665,9058,9105,Zeeuws-Vlaanderen,100,31,6597,37188, ,665,Graauw en Langendam,Graauw en Langendam,NA,NA,0,1,4,1970,0,0,2154,Zeeuwsch-Vlaanderen,yes,0,0,0,0,0,56,0,0,0,0,2097,0,0,1,0,57,57,0,2154,2154,0,0.948451586,0.051548414,1,0,0,0,0,0,0.025998143,0,0,0,0,0.973537604,0,0,0.000464253,0,0.948452
1253,531,1,Groede,9,1812,1942,11312,Groede,oudsher,01.04.1970,667,667,9086,9080,Zeeuws-Vlaanderen,98,31,2507,37767, ,667,Groede,Groede,NA,NA,0,1,4,1970,0,0,2284,Zeeuwsch-Vlaanderen,yes,0,2,33,2,0,1786,0,0,35,1,397,0,0,15,13,1801,1839,13,2271,2284,0.569176883,0.649537823,0.350462177,0.994308231,0,0.000880669,0.014531044,0.000880669,0,0.786437693,0,0,0.015411713,0.000440335,0.174812858,0,0,0.00660502,0.005724351,0.649538
1254,533,1,Heille,9,1812,1880,11309,Heille,oudsher,31-7-1880,1073,NA,9108,9117,Zeeuws-Vlaanderen,98,NA,1623,36809, ,1073,Heille,Heille,NA,NA,0,31,7,1880,NA,NA,NA,Zeeuwsch-Vlaanderen,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,535,1,Hengstdijk,9,1812,1936,10636,Hengstdijk,oudsher,01.07.1936,1077,NA,9051,9108,Zeeuws-Vlaanderen,100,NA,5812,37460, ,1077,Hengstdijk,Hengstdijk,NA,NA,0,1,7,1936,0,0,635,Zeeuwsch-Vlaanderen,yes,0,0,0,0,0,10,0,0,2,0,614,0,0,9,0,19,19,0,635,635,0,0.935410751,0.064589249,1,0,0,0,0,0,0.015748031,0,0,0.003149606,0,0.966929134,0,0,0.014173228,0,0.935411
1256,537,1,Hoek,9,1812,1942,10038,Hoek,oudsher,01.04.1970,674,674,9115,9094,Zeeuws-Vlaanderen,99,31,4329,37116, ,674,Hoek,Hoek,NA,NA,0,1,4,1970,0,0,2659,Zeeuwsch-Vlaanderen,yes,0,0,1,0,0,1847,0,0,187,0,78,0,0,501,45,2348,2349,45,2614,2659,1.692365551,0.541997098,0.458002902,0.983076344,0,0,0.000382555,0,0,0.706579954,0,0,0.071537873,0,0.029839327,0,0,0.191660291,0.017214996,0.541997
